term	definition
jamón serrano	cured Spanish ham, thin-sliced — common on boards and in upscale taquerías in Mexico
queso manchego	Spanish sheep's milk cheese — widely sold in Mexico for quesadillas and snacking
tapas	small Spanish plates meant for sharing — pintxos-style bars exist in Mexican cities
Pineda Covalin brand	Mexican luxury fashion/jewelry brand inspired by pre-Hispanic art and national symbols
tortilla española	Spanish potato-onion egg omelet — not Mexican, but on menus where Spanish and Mexican cuisines meet
escamoles	ant larvae harvested from agave roots — buttery "insect caviar," prized in central Mexican fine dining
tlacoyos	oval blue-corn masa cakes filled with fava bean paste, requesón, or other stuffing — street classic
barbacoa	meat (often lamb or beef) slow-steamed in maguey leaves underground or in pots — Sunday morning tradition
chicharrón delgado	thin, sheet-like fried pork skin — shatters when you bite it; snack or taco filling
Pollo Feliz / Pollo Loco	Mexican rotisserie chicken chains — whole pollo asado with sides, tortillas, and salsa
El Camarón Guasaveño	seafood brand/restaurant identity from Guasave, Sinaloa — shrimp and Pacific coast cooking
Marlin (comida)	sport fish and restaurant staple on Baja and Pacific coasts — often grilled or in tacos
Pollo Pancho Villa	rotisserie chicken brand named after the revolutionary — whole chicken to go
tamales de casa	homemade tamales — the family-recipe version, not the street or factory kind
flautas	long fried rolled tacos — flute-shaped, crunchy, usually shredded chicken or potato inside
churrasco	grilled beef cut, often arrachera/skirt — "carne asada" energy on a plate
empanadas de camarón	fried or baked turnovers filled with seasoned shrimp — coastal specialty
guajolota	torta de tamal — tamal stuffed inside a bolillo roll; legendary Mexico City commuter breakfast
churros	fried dough sticks rolled in cinnamon sugar — dipped in chocolate or dulce de leche
pastel de chocolate	Mexican chocolate cake — often less sweet than American versions, sometimes with cinnamon
tres leches	sponge cake soaked in three milks (evaporated, condensed, cream) — soft, sweet, celebratory
Iztaccíhuatl	dormant volcanic peak ("Sleeping Woman") beside Popocatépetl — named for the legend of the princess
Pico de Orizaba (Citlaltépetl)	highest peak in Mexico — dormant volcano on the Veracruz-Puebla border; "Star Mountain" in Nahuatl
Chichén Itzá	Maya archaeological site in Yucatán — El Castillo pyramid and Great Ball Court
Sierra Negra	volcano in Puebla near Pico de Orizaba — high-altitude site with astrophysics observatory
Tenochtitlan	Aztec capital on Lake Texcoco — foundation of modern Mexico City; island city of canals and causeways
Teotihuacán	ancient Mesoamerican city northeast of Mexico City — Pyramid of the Sun and Moon; pre-Aztec metropolis
chongos zamoranos	curds in sweet milk-cinnamon syrup — Michoacán dessert, spongy and milky
mazapán	peanut-marzipan candy disks — De la Rosa is the iconic brand in every tienda
Mujeres Divinas (Vicente Fernández)	iconic ranchera ballad — Vicente Fernández ("Chente") anthem honoring women
Cuernavaca	"City of Eternal Spring" — Morelos capital, weekend escape from Mexico City with gardens and history
limosnas	small sweet breads or alms-giving tradition — in baking, often simple pan dulce tied to charity customs
hojas (tamal)	corn or banana leaves that wrap tamales — impart aroma and keep masa moist while steaming
aves (Mexican cooking)	poultry — chicken and turkey anchor countless moles, soups, and street plates
Sebastián (artist)	Enrique Carbajal "Sebastián" — sculptor of monumental steel works (Caballito, Torre del Caballito, etc.)
Apolinar Ramírez	Mexican painter associated with regional and traditional themes — worth knowing in folk-art conversations
María Elena Delgado	Mexican artist/cultural figure — name to recognize in fine-art and craft circles
Rodo Padilla	Mexican painter of bright costumbrista scenes — markets, fiestas, and everyday life
La Puerta Metepec (La EME Roja)	Metepec restaurant/market landmark with the red M — Estado de México eating spot
Tlaloc	Aztec god of rain, lightning, and fertility — goggled eyes, jade offerings, tied to agriculture
Quetzalcóatl	Feathered Serpent deity — wind, learning, Venus, and creation; central to Toltec and Aztec myth
maíz / el maíz	sacred corn — foundation of Mesoamerican diet and cosmology; nixtamalized for masa
Ehecatl	Aztec wind god, often an aspect of Quetzalcóatl — breath that moves rain and life
Huitzilopochtli	Aztec god of war and sun — patron of Tenochtitlan; hummingbird-and-warrior imagery
los nahuas	Nahua peoples — largest indigenous group in Mexico; heirs of Aztec language and culture
náhuatl	Aztec language still spoken by over a million people — source of many Mexican Spanish words (chocolate, coyote, avocado)
agua agria	sour/agua fermented lightly — regional term for tart fruit aguas or vinegary preparations depending on locale
agua de los dioses	"water of the gods" — often a branded or poetic name for premium agua fresca or ceremonial drink
bebida caliente	hot drink — atole, café de olla, ponche, or chocolate caliente depending on context
bebida de cacao	cacao drink — ancient Mesoamerican chocolate, often with water, chile, and spices before sugar era
Cancún	Caribbean resort city in Quintana Roo — beaches, nightlife, and gateway to the Maya Riviera
Puerto Vallarta	Pacific resort town in Jalisco — cobblestone centro, bay, art scene, and beach life
Zihuatanejo	Guerrero fishing town and bay — relaxed Pacific vibe; "Zihua" beside Ixtapa
Acapulco	legendary Pacific port in Guerrero — cliff divers, bay, classic mid-century glamour destination
zacahuil	giant Tamale from Huasteca — can feed a party; masa and pork wrapped in banana leaves in an earth oven
amapola	poppy — flower and symbol; also poppy-seed fillings in pan dulce
belladona	nightshade plant ("beautiful woman") — toxic; appears in folk medicine lore, handle with caution
yerbabuena	spearmint — fresh in aguas, moles, and herbal remedies; cooling and everywhere in markets
toloache	jimsonweed (Datura) — powerful hallucinogenic plant with deep folk-magic reputation; dangerous
la planta del amor y la muerte	"datura" folklore name — same toloache family; love-charms and death in folk belief
xoloitzcuintle (xolo)	pre-Hispanic hairless dog breed — national symbol; believed to guide souls in Mictlan
chihuahueño	tiny state of Chihuahua in the north — desert, copper canyon, and the dog that shares its name
san bernardo (dog)	Saint Bernard breed — not Mexican origin but recognized breed name in Spanish
gran danés	Great Dane — "great Danish"; large breed name as used in Mexican Spanish
Toluca	capital of Estado de México — high-altitude city, chorizo verde, and portal to Nevado de Toluca
Fernando Zamora	Mexican cultural/political name to recognize — context-dependent in art and regional history
Juan Rodolfo Sánchez	Mexican figure worth knowing in regional or family-history conversations
María Elena Barrera	Mexican name associated with culture, politics, or local prominence depending on region
bolero	romantic Latin ballad form — trios, slow dance, classics from Agustín Lara to Luis Miguel
Día de los Muertos	November 1–2 remembrance of the dead — ofrendas, marigolds, pan de muerto, and cemetery vigils
La Catrina	elegant skeleton dame — José Guadalupe Posada's icon of death with humor and class
mariachi	trumpet-violin-guitar ensemble in charro suits — serenades, birthdays, and plaza culture
lucha libre	Mexican professional wrestling — masks, aerial moves, heroes and rudos
Frida Kahlo	painter of self-portraits, pain, and Mexican identity — Casa Azul in Coyoacán
Pancho Villa	revolutionary general of the Mexican Revolution — north, cavalry, and folk-hero legend
michelada	beer with lime, salt, chile, and sometimes Clamato or sauces — afternoon staple
horchata	rice (or nut) agua fresca with cinnamon — sweet, milky, pairs with tacos
agua de jamaica	hibiscus flower iced tea — tart, ruby-red, everywhere at taquerías
pan de muerto	sweet bread for Day of the Dead — bone-shaped strips on top, orange blossom flavor
alebrijes	fantastical painted folk-art creatures — Oaxaca wood carvings, bright and dreamlike
lotería	Mexican bingo with iconic images (el sol, la sirena, el catrín) — family game night classic
piñata	star or figure stuffed with candy, broken blindfolded at fiestas — clay or cardboard, seven points for sins
