term	definition
this guy pisses me off (Mexican slang)	me encabrona
tough situation, mixed company (Mexican)	está cañón
damn! shit! (Mexican slang)	¡chale!
hell yeah! of course! (Mexican slang)	¡a huevo!
I'm feeling lazy (Mexican slang)	tengo hueva
lazy person (Mexican slang)	huevón
this bores me (Mexican slang)	me da hueva
how boring (Mexican slang)	¡qué hueva!
beer (Mexican slang)	chela
beers (Mexican slang)	cheves
big returnable beer bottle (Mexican)	caguama
tall boy beer can (Mexican)	latón
liquor bottle (Mexican slang)	pomo
half-gallon liquor bottle (Mexican slang)	pata de elefante
booze (Mexican vulgar slang)	pisto
to drink; get drunk (Mexican vulgar)	pistear
let's drink (Mexican vulgar)	vamos a chupar
bad drunk (Mexican slang)	mala copa
hungover (Mexican slang)	crudo
I have a hangover (Mexican)	tengo cruda
bar (Mexican)	cantina
nightclub (Mexican)	antro
banda-music cowboy nightclub (Mexican)	rodeo
I'm drunk (Mexican slang)	estoy pedo
big drinker; also big fart (Mexican vulgar)	pedote
drinking binge (Mexican slang)	peda
drinking binge (Mexican)	borrachera
party; drinking session (Mexican slang)	pachanga
no problem (vulgar Mexican)	no hay pedo
what's your fucking problem? (Mexican vulgar)	¿cuál es tu pinche pedo?
person who causes problems (Mexican slang)	pedero
euphemism for pedo (Mexican)	pex
song (Mexican slang)	rola
the band; crew of friends (Mexican slang)	la banda
job, often a grind (Mexican slang)	chamba
what job do you have? (Mexican slang)	¿qué chamba tienes?
to work without enthusiasm (Mexican)	chambear
small shop or store (Mexican slang)	changarro
monkey (Mexican)	chango
cheap; low quality (Mexican slang)	chafa
money; bucks in pesos (Mexican slang)	varos
money (Mexican slang, wool)	lana
money (Mexican slang, silver)	plata
soda (Mexican)	refresco
police bribe, euphemism (Mexican)	un refresco
favor (Mexican slang)	paro
do me a favor (Mexican slang)	hazme un paro
joke; also the trick is... (Mexican)	chiste
vulgar pun (Mexican)	albur
to make vulgar puns (Mexican)	alburear
ugly; bad (Mexican slang)	gacho
ridiculous; over the top (Mexican)	jalada
diarrhea (Mexican slang)	chorro
thief (Mexican slang)	ratero
criminal; rat (Mexican slang)	rata
VW Beetle nickname (Mexican)	vocho
jacket in Mexico — not chaqueta (Mexican)	chamarra
jerking off (Mexican slang — not jacket!)	chaqueta
sandals (Mexican)	chanclas
sandals; also the food (Mexican)	huaraches
wearing sandals, sloppy (Mexican slang)	chancludo
main plaza of a city (Mexican)	el zócalo
neighborhood (Mexican)	colonia
apartment (Mexican slang)	depa
bus in Mexico (not truck)	camión
speed bump (Mexican)	tope
