term	definition
they came to help	ellos vinieron a ayudar
they found out last night	ellos supieron anoche
they wanted to stay	ellos quisieron quedarse
they decided to stay home	ellos se quedaron en casa
they arrived late	ellos llegaron tarde
they went out with friends	ellos salieron con amigos
they ate too much	ellos comieron de más
they lived there for years	ellos vivieron allí unos años
they read the message	ellos leyeron el mensaje
they ordered the salad	ellos pidieron la ensalada
they played in the final	ellos jugaron en la final
they slept eight hours	ellos durmieron ocho horas
they dozed off in class	ellos se durmieron en clase
they came back the next day	ellos volvieron al día siguiente
they started a new project	ellos empezaron un proyecto nuevo
they thought it over	ellos lo pensaron
they met your cousin	ellos conocieron a tu primo
they brought the documents	ellos trajeron los documentos
they watched the match	ellos miraron el partido
they listened to the album	ellos escucharon el álbum
they looked for a parking spot	ellos buscaron estacionamiento
they worked a double shift	ellos trabajaron doble turno
they took a taxi	ellos tomaron un taxi
they helped the neighbors	ellos ayudaron a los vecinos
they learned the answer	ellos aprendieron la respuesta
they put their jackets on	ellos se pusieron las chaquetas
they got up before dawn	ellos se levantaron antes del amanecer
they heard the warning	ellos oyeron el aviso
they understood the problem	ellos entendieron el problema
they drove across town	ellos manejaron cruzando la ciudad
they remembered the password	ellos recordaron la contraseña
they opened the door	ellos abrieron la puerta
they bought it for their mom	ellos se lo compraron a su madre
they went up the stairs	ellos subieron las escaleras
they won the bet	ellos ganaron la apuesta
they played that song on the radio	ellos tocaron esa canción en la radio
they believed the story	ellos creyeron el cuento
they threw out the old bottles	ellos echaron las botellas viejas
they woke up at dawn	ellos se despertaron al amanecer
they liked the coffee	a ellos les gustó el café
they loved the play	a ellas les encantó la obra
their heads hurt	les dolió la cabeza
their feet hurt	les dolieron los pies
were you a teacher?	¿fuiste profesor?
were you in Madrid all summer?	¿estuviste en Madrid todo el verano?
did you have a great idea?	¿tuviste una gran idea?
did you go to the bank?	¿fuiste al banco?
did you see it?	¿lo viste?
did you tell her the news?	¿le dijiste la noticia?
did you make dinner?	¿hiciste la cena?
did you give her the book?	¿le diste el libro?
did you leave early?	¿te fuiste temprano?
did you put the keys on the table?	¿pusiste las llaves en la mesa?
did you speak with the manager?	¿hablaste con el gerente?
did you come to help?	¿viniste a ayudar?
did you find out last night?	¿supiste anoche?
did you want to stay?	¿quisiste quedarte?
did you stay home?	¿te quedaste en casa?
did you arrive late?	¿llegaste tarde?
did you go out with friends?	¿saliste con amigos?
did you eat too much?	¿comiste demasiado?
did you live there for years?	¿viviste allí unos años?
did you read the message?	¿leíste el mensaje?
did you order the salad?	¿pediste la ensalada?
did you play in the final?	¿jugaste en la final?
did you sleep eight hours?	¿dormiste ocho horas?
did you doze off in class?	¿te dormiste en clase?
did you come back the next day?	¿volviste al día siguiente?
did you start a new project?	¿empezaste un proyecto nuevo?
did you think it over?	¿lo pensaste?
did you meet your cousin?	¿conociste a tu primo?
did you bring the documents?	¿trajiste los documentos?
did you watch the match?	¿miraste el partido?
did you listen to the album?	¿escuchaste al álbum?
did you look for a parking spot?	¿buscaste estacionamiento?
did you work a double shift?	¿trabajaste doble turno?
did you take a taxi?	¿tomaste un taxi?
did you help the neighbors?	¿ayudaste a los vecinos?
did you learn the answer?	¿aprendiste la respuesta?
did you put the jacket on?	¿te pusiste la chaqueta?
did you get up before dawn?	¿te levantaste antes del amanecer?
did you hear the warning?	¿oíste el aviso?
did you understand the problem?	¿entendiste el problema?
did you drive across town?	¿manejaste cruzando la ciudad?
did you remember the password?	¿recordaste la contraseña?
did you open the door?	¿abriste la puerta?
did you buy it for your mom?	¿se lo compraste a tu madre?
did you go up the stairs?	¿subiste las escaleras?
did you win the bet?	¿ganaste la apuesta?
did you play that song on the radio?	¿tocaste esa canción en la radio?
did you believe the story?	¿creíste el cuento?
did you throw out the old bottles?	¿echaste las botellas viejas?
did you wake up at dawn?	¿te despertaste al amanecer?
did you like the coffee?	¿te gustó el café?
did you love the play?	¿te encantó la obra?
did your head hurt?	¿te dolió la cabeza?
did your feet hurt?	¿te dolieron los pies?
I’ve been working all day	llevo trabajando todo el día
You’ve been looking for the keys for half an hour	llevas media hora buscando las llaves
He’s been staring at the same screen	lleva quince minutos mirando la misma pantalla
We’ve been listening to this on repeat	llevamos escuchando esto en repeat
I’ve been reading it for a week	llevo una semana leyéndolo
They’ve been learning the new software since Monday	llevan aprendiendo el programa desde el lunes
She’s been on the phone for an hour	lleva una hora hablando por teléfono
We’ve been doing chores all morning	llevamos toda la mañana haciendo tareas
The kids have been playing in the yard	los niños llevan toda la tarde jugando en el jardín
You’ve been snacking for an hour	llevas una hora comiendo
He’s been driving for six hours straight	lleva seis horas manejando sin parar
I can’t focus; I’ve been thinking about it	no puedo concentrarme; llevo días pensando en ello
You’ve been explaining the rules to us for half an hour	llevas media hora explicándonos las reglas
They’ve been helping us all week	llevan toda la semana ayudándonos
She’s been asking for a raise for months	lleva meses pidiendo un aumento
You’ve been winning every bet	llevas ganando cada apuesta
I’ve been trying to tell you	llevo semanas diciéndotelo
For hours the kitchen has smelled like garlic	la cocina lleva horas oliendo a ajo
We’ve been living here since May	llevamos viviendo aquí desde mayo
You keep reopening old fights	llevas abriendo viejas heridas
She’s still talking on the phone	sigue hablando por teléfono
He’s still working late	sigue trabajando hasta tarde
I’m still looking for it	sigo buscándolo
We’re still listening	seguimos escuchando
They’re still learning the job	siguen aprendiendo el oficio
You’re still reading that novel	sigues leyendo esa novela
I’m still thinking about it	sigo pensando en ello
The kids are still playing outside	los niños siguen jugando afuera
He’s still driving; he won’t stop	sigue manejando; no para
We’re still doing the same old thing	seguimos haciendo lo mismo
You’re still eating? I thought you were full	sigues comiendo; pensé que estabas lleno
She still believes in the project	sigue creyendo en el proyecto
I still want to go	sigo queriendo ir
I’m still scared	sigo teniendo miedo
He’s still asking for a raise	sigue pidiendo un aumento
You’re still watching that show	sigues mirando esa serie
The prof is still going over the topic	el profe sigue explicando el tema
I’m still helping out when I can	sigo ayudando cuando puedo
We’re still living together	seguimos viviendo juntos
You’re still saying the same thing	sigues diciendo lo mismo
I just finished working	acabo de trabajar
I just ate	acabo de comer
We just left	acabamos de irnos
I just got here	acabo de llegar
I just saw you	acabo de verte
I just told you	acabo de decírtelo
He just read the message	acaba de leerlo
I just heard the news	acabo de oír la noticia
I just asked for the check	acabo de pedir la cuenta
I just did it	acabo de hacerlo
She just made dinner	acaba de hacer la cena
He just left	acaba de irse
I just got out of the bath	acabo de bañarme
I just met your sister	acabo de conocer a tu hermana
They just won	acaban de ganar
I just found out	acabo de saberlo
I just opened the door	acabo de abrir la puerta
You just bought that	acabas de comprar eso
I just gave it to you	acabo de dártelo
I just drove all the way here	acabo de manejar hasta aquí
He usually cooks dinner at six	suele hacer la cena a las seis
She usually gets up early	suele levantarse temprano
I usually work from home	suelo trabajar desde casa
They usually arrive late	suelen llegar tarde
We usually eat out on Fridays	solemos comer fuera los viernes
You usually say the same thing	sueles decir lo mismo
I usually read before bed	suelo leer antes de acostarme
He usually drives to work	suele manejar al trabajo
We usually take the bus	solemos tomar el autobús
They usually play on weekends	suelen jugar los fines de semana
He usually stays home	suele quedarse en casa
I usually help on Sundays	suelo ayudar los domingos
He usually watches the news	suele mirar las noticias
We usually go to bed early	solemos acostarnos temprano
You usually get worked up over nothing	sueles enojarte por nada
The meeting usually starts late	la reunión suele empezar tarde
She usually naps in the afternoon	suele dormir la siesta por la tarde
The train is usually on time	el tren suele llegar a tiempo
I usually forget my keys	suelo olvidar las llaves
It’s usually really cold in the morning	suele hacer mucho frío por la mañana
don’t touch that	¡no lo toques!
give it to me	¡dámelo!
put it in the box	¡mételo en la caja!
don’t leave without me	¡no te vayas sin mí!
come here	¡ven aquí!
tell me the truth	¡dime la verdad!
do it now	¡hazlo ahorita mismo!
look at me	¡mírame!
don’t look	¡no mires!
listen to me	¡escúchame!
don’t open the door	¡no abras la puerta!
open it	¡ábrelo!
don’t say that	¡no digas eso!
don’t eat that	¡no comas eso!
read it	¡léelo!
get up	¡levántate!
go to bed	¡acuéstate!
don’t be afraid	¡no tengas miedo!
stay there	¡quédate ahí!
don’t be late	¡no llegues tarde!
let’s not talk about it	¡no hablemos de eso!
please do it (formal, singular)	¡hágalo, por favor!
please don’t (formal, singular)	¡no haga eso, por favor!
please tell me (formal, singular)	¡dígamelo, por favor!
please bring the document (formal, singular)	¡tráigalo, por favor!
let’s get out of here	¡salgamos de aquí!
let’s go	¡vámonos!
don’t get angry	¡no te enojes!
have fun	¡diviértete!
don’t fall	¡no te caigas!
get out of here	¡vete de aquí!
throw that away	¡tíralo!
find it	¡búscalo!
buy it	¡cómpralo!
don’t buy it	¡no lo compres!
give them to us	¡dánoslos!
return it to me	¡devuélvemelo!
wash your hands	¡lávate las manos!
get dressed	¡vístete!
add a little salt	¡añade un poco de sal!
don’t add sugar	¡no añadas azúcar!
don’t play with that	¡no juegues con eso!
don’t drive drunk	¡no manejes borracho!
use your head	¡piensa un poco!
I still need to go to the bank	aún me falta ir al banco
I need to talk to my boss first	me hace falta hablar primero con mi jefe
We still need to buy the tickets	aún nos falta comprar los boletos
I need to finish this tonight	me hace falta acabar esto esta noche
We need to leave by six	nos hace falta irnos a las seis
I still need to read the fine print	aún me falta leer la letra pequeña
You could use more sleep	te hace falta dormir más
I need to ask her for a favor	me hace falta pedirle un favor
We still need to tell them the truth	aún nos falta decirles la verdad
I need to give him an answer today	me hace falta darle una respuesta hoy
I still need to return the book	aún me falta devolver el libro
I need to understand what went wrong	me hace falta entender qué pasó
We need to work Saturday this week	nos hace falta trabajar el sábado esta semana
I still need to bring my ID	aún me falta traer mi identificación
I need to find my keys	me hace falta buscar mis llaves
We still need to meet the new manager	aún nos falta conocer al gerente nuevo
I need to remember the code	me hace falta recordar el código
I still need to open the attachment	aún me falta abrir el adjunto
We need to help with the cleanup	nos hace falta ayudar con la limpieza
I still need to take my medicine	aún me falta tomar la medicina
I need to get the kids to bed	me hace falta acostar a los niños
We still need to hear both sides	aún nos falta escuchar las dos versiones
I need to say I'm sorry	me hace falta decir que lo siento
I still need to get home before it rains	aún me falta llegar a casa antes de que llueva
We need to start the meeting	nos hace falta empezar la reunión
I still need to learn those verb forms	aún me falta aprender esas formas verbales
I need to drive across town tomorrow	me hace falta manejar cruzando la ciudad mañana
We still need to win this one	aún nos falta ganar este partido
I need to throw out the old boxes	me hace falta echar las cajas viejas
I still need to get up earlier	aún me falta levantarme más temprano
We need to see the dentist soon	nos hace falta ver al dentista pronto
I still need to come back with the papers	aún me falta volver con los papeles
You still need to sign here	aún te falta poner tu firma aquí
We need to stay a little longer	nos hace falta quedarnos un poco más
I still need to choose a roommate	aún me falta escoger un compañero de cuarto
I need to send the package today	me hace falta mandar el paquete hoy
We still need to get the permit	aún nos falta conseguir el permiso
I need to wash up before dinner	me hace falta lavarme antes de la cena
I still need to see it for myself	aún me falta verlo con mis propios ojos
